n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2369T3957539J,5,2,4,21,6,7,6,58.6,1.6,100.0,5825.0,13397.5,416.0,-1,2
2302T0483966V,4,2,3,8,6,7,6,123.2,3.4,96.0,5143.0,11828.9,903.3,1900,3
2130T0774038L,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2245T0183882T,2,2,5,24,6,4,6,206.8,30.2,1361.0,383653.6,448718.6,29009.0,1980,4
2175T0391597X,0,6,5,24,6,7,6,479.3,17.5,157.4,32799.0,75437.7,7184.0,1900,6
2238T1191714G,3,2,5,24,6,7,6,395.0,11.0,142.0,24120.0,55476.0,3859.2,1949,6
2306T1693340J,5,3,5,24,6,7,6,386.9,10.8,56.4,28450.0,65435.0,6488.599999999999,1960,6
2375T1219332Y,5,3,5,25,6,7,6,269.5,7.5,134.0,31396.0,72210.8,5075.9,1949,4
2230T0348972U,3,2,4,24,6,7,6,346.4,9.9,100.0,45162.0,71162.0,4507.0,1948,5
2360T0516378R,4,3,4,24,6,7,6,380.2,10.6,100.0,300000.0,690000.0,57000.0,-1,5
2259T0899265A,3,2,4,9,6,7,6,1168.5,32.5,100.0,17324.0,39845.2,2885.0,1948,7
2133T0645011Z,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1947,1
2308T2058677W,4,3,4,9,6,7,6,269.1,9.8,64.7,8326.0,19149.8,1156.5,1950,4
2233T2547795A,4,2,4,10,6,7,0,2738.5,76.2,100.0,107881.0,248126.3,10497.0,-1,7
2179T0929948W,2,4,4,21,6,6,6,0.1,0.1,100.0,0.0,0.0,0.0,1947,1
2321T1079137T,4,2,5,24,4,4,2,218.5,42.6,130.0,25810.0,28410.0,2215.8,1900,4
2175T0856892W,2,4,4,21,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1930,1
2135T0295390C,0,2,4,19,6,7,6,137.4,3.8,100.0,4700.0,10810.0,730.0,1978,3
2272T2225526O,4,3,4,21,6,7,6,327.4,9.1,100.0,7390.0,16997.0,1566.0,-1,4
2322T2521538T,5,2,0,24,4,4,2,115.0,17.0,1216.6,110639.5,116.0,10234.400000000001,1945,3
2331T0557158A,4,2,4,24,6,7,6,125.4,3.6,100.0,3019.3,6914.1,869053.0,-1,3
2214T2717962E,4,3,5,24,6,7,3,222.0,6.0,35.0,10161.0,23370.0,1908.0,1973,7
2342T1437233M,4,3,4,9,7,7,2,115.5,3.2,100.0,2179.0,5011.7,632.0,-1,3
2236T2128102C,4,3,4,10,7,7,2,797.1,22.2,50.6,12489.0,28724.7,2010.2000000000003,1949,7
2116T0929326N,2,4,4,9,6,6,6,0.1,0.1,100.0,0.0,0.0,0.0,1948,1
2313T1860765B,4,3,4,9,6,7,6,131.0,3.6,100.0,2975.0,6842.5,612.3,-1,3
2235T0439506B,3,2,4,21,6,7,6,314.9,8.8,100.0,21118.0,48571.4,3897.1,1948,5
2493T0135628T,5,2,4,25,6,7,6,186.7,5.2,100.0,18930.0,43539.0,5491.0,-1,3
2292T2914152Y,4,3,5,10,6,7,3,838.0,23.0,31.7,34626.0,79641.0,5730.0,1949,7
